ISIN,RANK,POWERRATING
INF789FC11T3,7,IN_FORM
INF194KB1DQ7,4,IN_FORM
INF397L01JY9,25,OUT_OF_FORM
INF200KA16P2,8,ON_TRACK
INF109KC10U4,,ON_TRACK
INF179KC1BH8,8,ON_TRACK
INF336L01DG7,22,ON_TRACK
INF767K01NG4,15,OUT_OF_FORM
INF200K01CV8,16,OFF_TRACK
INF209K01BT5,22,OFF_TRACK
INF846K01EG5,18,OFF_TRACK
INF109K01AL6,7,IN_FORM
INF769K01AY0,17,ON_TRACK
INF209K01LE6,12,ON_TRACK
INF200K01792,7,ON_TRACK
INF754K01LT9,,IN_FORM
INF740KA1454,10,ON_TRACK
INF903J01F68,11,OFF_TRACK
INF769K01MQ1,22,IN_FORM
INF109K01Y64,10,IN_FORM
INF109KC11J5,2,IN_FORM
INF200K01TP4,19,OFF_TRACK
INF209K01Q48,26,OUT_OF_FORM
INF666M01FG0,27,OUT_OF_FORM
INF903J01OR2,18,OFF_TRACK
INF174K01KW6,4,IN_FORM
INF336L01115,14,ON_TRACK
INF200KB1555,6,IN_FORM
INF663L01W14,19,OFF_TRACK
INF200KB1811,,IN_FORM
INF582M01HD2,21,OFF_TRACK
INF179K01AA2,6,IN_FORM
INF194KB1GB2,13,OFF_TRACK
INF192K01BU1,17,OFF_TRACK
INF0QA701417,10,IN_FORM
INF277KA1AV4,3,IN_FORM
INF194KB1JC4,2,IN_FORM
INF209K01LC0,14,IN_FORM
INF200K01560,19,OFF_TRACK
INF03VN01555,6,IN_FORM
INF277KA1CB2,2,IN_FORM
INF209K01KL3,26,OFF_TRACK
INF754K01CA8,19,ON_TRACK
INF789F1AZO5,7,IN_FORM
INF204KC1FC9,18,IN_FORM
INF680P01034,25,OUT_OF_FORM
INF200K01SC4,3,ON_TRACK
INF173K01HF9,5,IN_FORM
INF789F01VE6,10,OFF_TRACK
INF194KB1HD6,6,ON_TRACK
INF178L01AL9,9,ON_TRACK
INF740KA1VM8,10,ON_TRACK
INF336L01DW4,14,ON_TRACK
INF740KA1WL8,1,IN_FORM
INF204KA1E12,14,ON_TRACK
INF204K01K49,6,IN_FORM
INF761K01ES1,11,ON_TRACK
INF223J01QD0,20,OUT_OF_FORM
INF397L01JS1,22,OUT_OF_FORM
INF194K01599,19,OUT_OF_FORM
INF277KA1AX0,,ON_TRACK
INF251K01HU2,11,ON_TRACK
INF767K01NA7,25,OUT_OF_FORM
INF740KA1VN6,10,ON_TRACK
INF740KA1PM0,15,ON_TRACK
INF846K013A8,7,OUT_OF_FORM
INF109K01BV3,16,OUT_OF_FORM
INF174KA1TC8,1,IN_FORM
INF767K01089,30,OUT_OF_FORM
INF090I01GX4,7,ON_TRACK
INF767K01485,7,IN_FORM
INF789F01VH9,11,OFF_TRACK
INF761K01157,11,ON_TRACK
INF204K01E21,5,IN_FORM
INF846K01EA8,15,OFF_TRACK
INF740KA1WS3,,ON_TRACK
INF205K01LN5,19,OFF_TRACK
INF761K01EB7,25,ON_TRACK
INF200K01RU8,1,IN_FORM
INF174K01KU0,24,OUT_OF_FORM
INF200KA1481,1,IN_FORM
INF769K01MK4,5,ON_TRACK
INF277K01NB5,19,OFF_TRACK
INF174KA1OM8,5,OFF_TRACK
INF277K01DH3,22,OUT_OF_FORM
INF03VN01530,6,IN_FORM
INF740K01NQ0,9,ON_TRACK
INF109K016M8,3,IN_FORM
INF204K01J91,6,IN_FORM
INF204K01554,1,IN_FORM
INF109KC13X2,,IN_FORM
INF740KA1447,10,ON_TRACK
INF966L01630,23,OUT_OF_FORM
INF789F1AUZ2,20,OFF_TRACK
INF082J01267,23,OUT_OF_FORM
INF966L01549,4,IN_FORM
INF846K01B51,31,OUT_OF_FORM
INF109K01EG8,4,IN_FORM
INF194KA1XY0,19,OUT_OF_FORM
INF397L01265,17,OFF_TRACK
INF204K01HY3,6,IN_FORM
INF200KB1373,3,IN_FORM
INF209K01VY3,14,IN_FORM
INF173K01FC0,20,OFF_TRACK
INF109KC1GI0,1,IN_FORM
INF767K01931,34,OUT_OF_FORM
INF109K01BG4,4,IN_FORM
INF200K01UM9,2,IN_FORM
INF090I01JT6,8,IN_FORM
INF109KC18T9,,ON_TRACK
INF767K01QV6,23,OFF_TRACK
INF247L01619,29,OUT_OF_FORM
INF109KC16U1,4,IN_FORM
INF174V01200,6,IN_FORM
INF109KC18Y9,4,IN_FORM
INF209KA1TQ7,14,OFF_TRACK
INF109K01X81,1,IN_FORM
INF959L01GR6,21,ON_TRACK
INF109KA19I4,13,ON_TRACK
INF582M01GB8,20,OUT_OF_FORM
INF277K01EG3,11,ON_TRACK
INF966L01AS2,14,ON_TRACK
INF109K1A237,,IN_FORM
INF174K01KY2,4,IN_FORM
INF740KA1CP1,1,IN_FORM
INF209KB1Z71,4,IN_FORM
INF179KC1GO3,10,ON_TRACK
INF109K01BM2,3,IN_FORM
INF959L01FT4,2,IN_FORM
INF966L01AU8,23,OFF_TRACK
INF846K01QD6,8,IN_FORM
INF666M01DC4,21,OUT_OF_FORM
INF767K01QY0,23,OFF_TRACK
INF204K01GF4,9,ON_TRACK
INF666M01DL5,35,OUT_OF_FORM
INF760K01076,17,OFF_TRACK
INF760K01AQ5,12,ON_TRACK
INF179K01566,2,IN_FORM
INF769K01MF4,6,IN_FORM
INF179KA1KO7,15,ON_TRACK
INF761K01BN8,18,OFF_TRACK
INF760K01KI1,12,ON_TRACK
INF740KA1TB5,4,IN_FORM
INF917K01FX6,10,ON_TRACK
INF200KB1639,3,IN_FORM
INF680P01208,26,OUT_OF_FORM
INF740KA1TU5,,IN_FORM
INF200K01TS8,3,IN_FORM
INF769K01036,17,ON_TRACK
INF663L01DX9,24,OFF_TRACK
INF194KB1GG1,13,OFF_TRACK
INF789F01SK9,6,IN_FORM
INF00XX01754,4,IN_FORM
INF277KA1EB8,15,ON_TRACK
INF204K01IZ8,10,IN_FORM
INF200KA18Y0,37,ON_TRACK
INF789F01VG1,11,OFF_TRACK
INF789F1AYU5,13,ON_TRACK
INF044D01CR3,34,ON_TRACK
INF754K01ON6,10,ON_TRACK
INF760K01KL5,12,ON_TRACK
