ISIN,RANK,POWERRATING,DATE_V1
INF194KB1CC9,4,ON_TRACK,2026-04-01
INF090I01EV3,6,ON_TRACK,2026-04-01
INF084M01AV6,5,OFF_TRACK,2026-04-01
INF174KA1HF6,2,ON_TRACK,2026-04-01
INF109KC1U35,4,IN_FORM,2026-04-01
INF084M01BA8,4,ON_TRACK,2026-04-01
INF740K01LQ4,1,IN_FORM,2026-04-01
INF959L01GA2,1,IN_FORM,2026-04-01
INF740KA1QR7,1,IN_FORM,2026-04-01
INF336L01CI5,1,IN_FORM,2026-04-01
INF740K01OI5,1,IN_FORM,2026-04-01
INF740KA1QQ9,1,IN_FORM,2026-04-01
INF109K01Z55,5,ON_TRACK,2026-04-01
INF336L01446,1,IN_FORM,2026-04-01
INF843K01ED9,7,OFF_TRACK,2026-04-01
INF959L01FW8,,IN_FORM,2026-04-01
INF769K01HG2,,ON_TRACK,2026-04-01
INF843K01IY6,3,ON_TRACK,2026-04-01
INF846K01X55,3,ON_TRACK,2026-04-01
INF205K01B31,1,IN_FORM,2026-04-01
INF109KC1U68,4,IN_FORM,2026-04-01
INF084M01ED6,5,OFF_TRACK,2026-04-01
INF174KA1HD1,2,ON_TRACK,2026-04-01
INF846K016K0,6,ON_TRACK,2026-04-01
INF846K01Z61,3,ON_TRACK,2026-04-01
INF223J01AY0,4,ON_TRACK,2026-04-01
INF205K01B23,1,IN_FORM,2026-04-01
INF204KA14G8,8,OFF_TRACK,2026-04-01
INF174KA1HI0,2,ON_TRACK,2026-04-01
INF209KB10D0,5,ON_TRACK,2026-04-01
INF209KB17C7,5,ON_TRACK,2026-04-01
INF204KA13G0,8,OFF_TRACK,2026-04-01
INF846K01X22,3,ON_TRACK,2026-04-01
INF200KA1U44,2,IN_FORM,2026-04-01
INF084M01AZ7,4,ON_TRACK,2026-04-01
INF769K01HT5,,ON_TRACK,2026-04-01
INF247L01AH0,,IN_FORM,2026-04-01
INF846K017K8,6,ON_TRACK,2026-04-01
INF109KC1F42,3,ON_TRACK,2026-04-01
INF174K01LX2,2,IN_FORM,2026-04-01
INF846K013K7,6,ON_TRACK,2026-04-01
INF084M01EI5,4,ON_TRACK,2026-04-01
INF090I01JP4,6,ON_TRACK,2026-04-01
INF174K01LY0,2,IN_FORM,2026-04-01
INF109KC1F18,3,ON_TRACK,2026-04-01
INF174KA1FR5,3,IN_FORM,2026-04-01
INF769K01IP1,,ON_TRACK,2026-04-01
INF846K01X48,3,ON_TRACK,2026-04-01
INF204KA12G2,8,OFF_TRACK,2026-04-01
INF903J01OA8,1,IN_FORM,2026-04-01
INF109K01Z63,5,ON_TRACK,2026-04-01
INF846K01Z46,3,ON_TRACK,2026-04-01
INF903J01NZ7,1,IN_FORM,2026-04-01
INF174K01DW1,2,IN_FORM,2026-04-01
INF903J01EY9,1,IN_FORM,2026-04-01
INF209K01520,2,ON_TRACK,2026-04-01
INF109K01E50,5,ON_TRACK,2026-04-01
INF205K01B64,1,IN_FORM,2026-04-01
INF209KB19C3,5,ON_TRACK,2026-04-01
INF090I01JQ2,6,ON_TRACK,2026-04-01
INF209K01Q89,2,ON_TRACK,2026-04-01
INF090I01EU5,6,ON_TRACK,2026-04-01
INF754K01LC5,3,ON_TRACK,2026-04-01
INF740KA1QO4,1,IN_FORM,2026-04-01
INF903J01EZ6,1,IN_FORM,2026-04-01
INF179KC1BP1,2,IN_FORM,2026-04-01
INF174KA1HE9,2,ON_TRACK,2026-04-01
INF090I01EW1,6,ON_TRACK,2026-04-01
INF204KA17G1,8,OFF_TRACK,2026-04-01
INF740K01OJ3,1,IN_FORM,2026-04-01
INF200KA1U36,2,IN_FORM,2026-04-01
INF336L01420,1,IN_FORM,2026-04-01
INF209K01CV9,2,ON_TRACK,2026-04-01
INF247L01700,7,ON_TRACK,2026-04-01
INF200KA1U10,2,IN_FORM,2026-04-01
INF204KA16G3,8,OFF_TRACK,2026-04-01
INF336L01438,1,IN_FORM,2026-04-01
INF084M01AU8,5,OFF_TRACK,2026-04-01
INF174K01DV3,2,IN_FORM,2026-04-01
INF846K01Z79,3,ON_TRACK,2026-04-01
INF846K015K2,6,ON_TRACK,2026-04-01
